NB_GRAPHS                 10
UNDIRECTED GRAPH      
NB_NODES                 200
NB_EDGES                 958
LIST_OF_EDGES 	 COSTS
    0     1    20
    1     2    95
    2     3    90
    3     4    56
    4     5     4
    5     6    33
    6     7    31
    7     8     8
    8     9    77
    9    10    19
   10    11    20
   11    12     2
   12    13    62
   13    14    49
   14    15    31
   15    16    73
   16    17    23
   17    18    36
   18    19    65
   19    20    41
   20    21    21
   21    22    56
   22    23    18
   23    24    83
   24    25    55
   25    26    96
   26    27    23
   27    28    99
   28    29   100
   29    30    92
   30    31    15
   31    32    17
   32    33    52
   33    34    38
   34    35    90
   35    36    44
   36    37    72
   37    38    62
   38    39    64
   39    40    57
   40    41    13
   41    42    59
   42    43    65
   43    44    44
   44    45    86
   45    46    93
   46    47    33
   47    48    57
   48    49    75
   49    50    29
   50    51    32
   51    52    64
   52    53    96
   53    54    22
   54    55     3
   55    56    42
   56    57    13
   57    58    38
   58    59    91
   59    60     5
   60    61     1
   61    62    93
   62    63     3
   63    64    41
   64    65    70
   65    66    81
   66    67    27
   67    68    92
   68    69    69
   69    70    32
   70    71    82
   71    72    63
   72    73    12
   73    74     4
   74    75    63
   75    76     2
   76    77    39
   77    78   100
   78    79    83
   79    80    36
   80    81     7
   81    82    84
   82    83    31
   83    84    50
   84    85    24
   85    86    82
   86    87    56
   87    88    36
   88    89    58
   89    90    43
   90    91    73
   91    92    72
   92    93    31
   93    94    43
   94    95    15
   95    96    85
   96    97    41
   97    98    44
   98    99    11
   99   100    94
  100   101    69
  101   102    60
  102   103    72
  103   104     5
  104   105    75
  105   106     4
  106   107    19
  107   108    72
  108   109    93
  109   110    39
  110   111    69
  111   112    86
  112   113    46
  113   114    69
  114   115    88
  115   116    84
  116   117    95
  117   118    91
  118   119    45
  119   120    39
  120   121    35
  121   122    50
  122   123    76
  123   124    27
  124   125    19
  125   126    90
  126   127    97
  127   128    81
  128   129    57
  129   130    46
  130   131    21
  131   132    63
  132   133    13
  133   134    11
  134   135     2
  135   136    36
  136   137    46
  137   138    30
  138   139    36
  139   140    13
  140   141    38
  141   142    81
  142   143    19
  143   144    60
  144   145    46
  145   146    53
  146   147     9
  147   148    52
  148   149    36
  149   150    84
  150   151    12
  151   152    89
  152   153    53
  153   154     8
  154   155    72
  155   156     4
  156   157    19
  157   158    72
  158   159    34
  159   160    90
  160   161    52
  161   162    53
  162   163    63
  163   164    34
  164   165    53
  165   166    46
  166   167    26
  167   168    49
  168   169    55
  169   170    32
  170   171    49
  171   172    28
  172   173    46
  173   174    89
  174   175    39
  175   176    48
  176   177     8
  177   178    16
  178   179    35
  179   180    77
  180   181    40
  181   182    45
  182   183    73
  183   184    24
  184   185    73
  185   186    87
  186   187    28
  187   188     9
  188   189    72
  189   190     7
  190   191    77
  191   192    87
  192   193    39
  193   194    24
  194   195     5
  195   196    74
  196   197    54
  197   198    33
  198   199    35
   59    37    16
   24   121    96
   51    70    94
   69   121    10
  141     6    28
  101   184    74
  111    68    90
   25    39    75
   95   181    76
  118    30    28
  132    89    43
  152   139    36
    9     6    10
   10   160    20
   82   121    32
  104    57    92
  117   118    21
  196    71    50
  197    44     7
   51   185    15
  131   139    46
   63   133    23
  100    12    26
   11   119    24
  146   171     8
    3    66    64
  114   187    86
  151   128     4
    4    34    93
  108    43    62
   25   160    12
   41   149    92
  135   111    60
    7    41    74
   21    93    95
   38    31    71
  100    87    15
  184   126    83
   58    84    23
  128   177     7
   82   187    64
  114     0    12
  160   111    44
   69   196    52
  176    67    47
   84    74    76
   74   194     1
  169   110    92
   10   170    47
  148    64    85
  130   161    52
   16   197    85
  100    12    66
   62    60    53
  115    24    79
   40    14    43
   77   185    26
  160    45    44
  110   175    68
    8   161    43
   32    85     8
  163    55    52
  106   196    72
   31   135    47
  168    83    26
  188   135    32
    4    66    59
  162     4    74
   53    18    72
   53   146    78
  163    53    98
  187    89    77
   25   167    90
   95   135    95
   84   128    94
    1    56    99
  104   194    15
   55    19    19
   78    88    21
  114    28    24
    1   162    27
  194   112    66
  145   125    82
   25    84    20
   90   167    16
  112    94    73
  173   178    61
   20    90    71
   54   143    50
  102    57    67
   34    85    77
   20   128    33
  130   118    31
  102   128    24
   10    18     1
   45   177    38
   62    31    25
  115    99    53
  109    59    51
   76    14    29
  118    71    14
  143   169    20
  115   196    12
   75   129    23
   43    49    51
  157   129    39
  141    23    19
   72   126    34
   76   117     8
   61   171    76
    6     1     4
   36   140    80
  112   166    93
   57   192    64
   90    90    92
  108    60    90
  111     1    22
  122    70    29
  138    27    22
  150   128    27
  184   112    97
  163    24    40
   27   190    86
   94    80    16
   50   157    93
  121     4    86
   78     0    13
   54   176     9
  111    25    82
   90   130    71
  176    23    90
   31   166    93
  124   108    16
   14   159    48
  149   138    15
  111    73    98
    3   148    24
  157   142    14
  198     2    30
  172     6    73
   93   183    19
  145    37    77
  116    48   100
  152    63    33
   95   150    49
   34    87   100
  153    86    79
   83   145    22
  191   111    72
   15   148    64
  115   177    42
  111    19    50
  155    29    57
   25   120    52
   16    38    72
   84    41    92
   85   114    78
  125   172    96
   23   194    99
  139    75    44
    3    41    60
   41    77    50
  131   131    27
  126   127    34
   89     5    43
   65     5    65
  130   167    23
  122   139    92
   51   105     1
  161     1    39
   34   196    43
  152   114    28
  173     9     1
  135    90    10
   19   140     9
    3   188    90
   94   193    84
  188    92     3
  137   115    23
  170   171    88
  112   130    15
  114    16    97
  116   146    64
  161    31    11
  107    93    85
  114    38     4
  147    53    20
  181    34    66
  186    18   100
   15    95    97
  137    45    49
   93    36    77
  115   175    59
  171   127    92
  135   158    25
   47   135    42
  128   155    42
   11   189    98
  168     3     1
   23   153    35
   64    28    99
  191    58    65
  136    82    87
  100     2    85
   14    39    80
  164    77    75
  192   103    81
  144    67    55
  198    64   100
   45    28    54
   48    98    20
    3    81    78
   81    29    74
  197   191     1
  192    82    79
   97    17    78
  124    17    13
   77   138    34
  138   124     8
  147   107    27
   45   159    30
  123   174   100
  129   182    21
   78   162    18
  147     5    28
  185    38    53
   53   163    24
  152   116    70
  112    41    50
   39     2    40
   58   185    40
  115    89    99
   49    76    81
  185    50    97
   45   125    12
   55   100    10
   57    45    12
   43    30    49
  122     4    69
  138    50     7
  188   182    11
   28   179    65
   39    61    89
  183   123    58
  196   195     8
   22    83    65
   91    82     7
  114   120    87
  186   130    28
  145   177    72
   54    93    46
   69    62    64
  189   144    84
  154    47    47
  172   139    36
   80     3    80
  141    80    30
    8   151    16
   34    75   100
   90    77    88
   78   170    20
  165    25    18
  157    31    93
   45    57    96
   82   117    65
  118   154    44
  153    33    74
   45    74    90
  133   139    43
  184    76    63
  146   165    15
  136    48    81
   36   114    78
   82    82    78
   26    86    17
   28    67    38
  109    66    91
   16   161    39
  126   109    92
   71    61    65
  139    50    40
   37   189    14
  157   141    37
   21   136    16
   95    60    49
   45    62    50
  193   143    24
  110    99    96
   19   184     2
   12   131    66
  178   123    51
  174    96    27
  150    67    23
  151    71    62
    6   124    30
  165   189     2
  183    16     2
  114   196    24
   11    50    83
   41   158    22
  145   192    54
  123     3     5
  187    13    22
   54   122    53
  114    26    54
  182    34    37
   90   102    62
  183   142    30
