NB_GRAPHS                 10
UNDIRECTED GRAPH      
NB_NODES                 300
NB_EDGES                1437
LIST_OF_EDGES 	 COSTS
    0     1    20
    1     2    95
    2     3    90
    3     4    56
    4     5     4
    5     6    33
    6     7    31
    7     8     8
    8     9    77
    9    10    19
   10    11    20
   11    12     2
   12    13    62
   13    14    49
   14    15    31
   15    16    73
   16    17    23
   17    18    36
   18    19    65
   19    20    41
   20    21    21
   21    22    56
   22    23    18
   23    24    83
   24    25    55
   25    26    96
   26    27    23
   27    28    99
   28    29   100
   29    30    92
   30    31    15
   31    32    17
   32    33    52
   33    34    38
   34    35    90
   35    36    44
   36    37    72
   37    38    62
   38    39    64
   39    40    57
   40    41    13
   41    42    59
   42    43    65
   43    44    44
   44    45    86
   45    46    93
   46    47    33
   47    48    57
   48    49    75
   49    50    29
   50    51    32
   51    52    64
   52    53    96
   53    54    22
   54    55     3
   55    56    42
   56    57    13
   57    58    38
   58    59    91
   59    60     5
   60    61     1
   61    62    93
   62    63     3
   63    64    41
   64    65    70
   65    66    81
   66    67    27
   67    68    92
   68    69    69
   69    70    32
   70    71    82
   71    72    63
   72    73    12
   73    74     4
   74    75    63
   75    76     2
   76    77    39
   77    78   100
   78    79    83
   79    80    36
   80    81     7
   81    82    84
   82    83    31
   83    84    50
   84    85    24
   85    86    82
   86    87    56
   87    88    36
   88    89    58
   89    90    43
   90    91    73
   91    92    72
   92    93    31
   93    94    43
   94    95    15
   95    96    85
   96    97    41
   97    98    44
   98    99    11
   99   100    94
  100   101    69
  101   102    60
  102   103    72
  103   104     5
  104   105    75
  105   106     4
  106   107    19
  107   108    72
  108   109    93
  109   110    39
  110   111    69
  111   112    86
  112   113    46
  113   114    69
  114   115    88
  115   116    84
  116   117    95
  117   118    91
  118   119    45
  119   120    39
  120   121    35
  121   122    50
  122   123    76
  123   124    27
  124   125    19
  125   126    90
  126   127    97
  127   128    81
  128   129    57
  129   130    46
  130   131    21
  131   132    63
  132   133    13
  133   134    11
  134   135     2
  135   136    36
  136   137    46
  137   138    30
  138   139    36
  139   140    13
  140   141    38
  141   142    81
  142   143    19
  143   144    60
  144   145    46
  145   146    53
  146   147     9
  147   148    52
  148   149    36
  149   150    84
  150   151    12
  151   152    89
  152   153    53
  153   154     8
  154   155    72
  155   156     4
  156   157    19
  157   158    72
  158   159    34
  159   160    90
  160   161    52
  161   162    53
  162   163    63
  163   164    34
  164   165    53
  165   166    46
  166   167    26
  167   168    49
  168   169    55
  169   170    32
  170   171    49
  171   172    28
  172   173    46
  173   174    89
  174   175    39
  175   176    48
  176   177     8
  177   178    16
  178   179    35
  179   180    77
  180   181    40
  181   182    45
  182   183    73
  183   184    24
  184   185    73
  185   186    87
  186   187    28
  187   188     9
  188   189    72
  189   190     7
  190   191    77
  191   192    87
  192   193    39
  193   194    24
  194   195     5
  195   196    74
  196   197    54
  197   198    33
  198   199    35
  199   200    30
  200   201    19
  201   202    16
  202   203    13
  203   204    61
  204   205    96
  205   206    26
  206   207    36
  207   208    94
  208   209    35
  209   210    61
  210   211    10
  211   212    71
  212   213     4
  213   214    28
  214   215    51
  215   216    93
  216   217    74
  217   218    56
  218   219    35
  219   220    90
  220   221    13
  221   222    20
  222   223    75
  223   224    48
  224   225    91
  225   226    76
  226   227    60
  227   228    16
  228   229    28
  229   230    67
  230   231    45
  231   232    43
  232   233    77
  233   234    70
  234   235    36
  235   236     5
  236   237     4
  237   238    10
  238   239     6
  239   240    81
  240   241    20
  241   242    42
  242   243    61
  243   244    32
  244   245    53
  245   246    29
  246   247    92
  247   248    59
  248   249    60
  249   250    21
  250   251    99
  251   252    36
  252   253    50
  253   254    99
  254   255    23
  255   256     7
  256   257    26
  257   258    93
  258   259    15
  259   260    66
  260   261    70
  261   262    46
  262   263    32
  263   264    67
  264   265    23
  265   266    51
  266   267     7
  267   268    26
  268   269     6
  269   270    60
  270   271    24
  271   272    74
  272   273    86
  273   274     8
  274   275     2
  275   276    34
  276   277    64
  277   278    58
  278   279    94
  279   280    86
  280   281    76
  281   282    65
  282   283     4
  283   284     3
  284   285    18
  285   286    93
  286   287    55
  287   288    22
  288   289    62
  289   290    13
  290   291    81
  291   292    12
  292   293    21
  293   294    75
  294   295    92
  295   296    68
  296   297    56
  297   298    60
  298   299     4
   62   221    11
  140   283    20
   47   212    51
  131    43    93
  189   247    30
  126    67    65
  266    19    42
  281   189    58
    1    33    81
  167   129    35
  294   155    89
  101   139    43
  112   225    38
  291     1    85
  165   275     6
  256   140    75
   97   254    66
  242   154     9
  295   252    51
   18   196    32
   91   158    58
   36   236    21
   21   126    39
  277    76    81
   67   129    56
  263   202     5
  242   126    17
  128    22    82
   83   153    54
  295   213    16
  202   138    85
  124    75    95
  202    93     3
  100   175    82
    6   219    27
   27   215    27
  219   232    82
   80   291    94
  133   230    13
  251   267    48
  202   282    43
  192   281     1
   84   294    53
  291    42    28
   29    55    40
  133    61    58
   43    70     1
  243    79    98
  169   195    73
  187   244    13
  126    59    46
  251    45    57
  142   217    87
  268   182    11
  136   210    28
  215   148    52
   85   200    18
  128   230    11
  192    97    66
  177    92    52
  192    69     6
   28     0    23
  265   112    32
   47    73    58
  149   156    55
   89   152    39
   21    86    60
  107    41    72
  254    58    58
  294    33    38
  194    67    22
   73   150    79
  194   116    71
   35    54    37
  190   101    39
  175    22    31
  257   227     4
    1    11    19
  210   238    57
  250   278    29
  288   190    46
  136   275    55
   90   269    56
    2    65    62
  105    86    70
   41    63    76
  192    78    93
  169   288    82
   37   119    14
  285   257    48
  120    46    26
  235   277    61
    6   256    40
    1    36    28
  264    25    56
   38   244    46
  196   212    89
   35   269    16
  249   277    63
  162    47     8
  238   143    75
  208    44    56
  109   291     2
  222    71    79
  214    41   100
    3    89    87
    9   217    47
  275    55    73
   56   229    59
   72   298    77
   95    98    48
  225   146    18
  131   298    77
  129   234    42
  218    64    96
  166   215     8
  223   189    58
  266   125    56
   29   149    78
   44   170    13
  180   155     9
   57   215    43
   62   275    43
  171   231    63
  258   285    12
  292   295    70
  113   129     2
   61   177    21
  116   149    66
  197    79    64
  190    99    45
    8   127    33
    7   192    66
  250    66    62
  208   273    26
  158     2    81
    2   116    18
  295   126    77
  172    81    87
   13     1    68
  135    29    10
  210    25     2
  282   269    48
  289   251    95
  138     7    69
  173    66    86
  257   263    57
  196    44    58
   24   290    59
  219   190    81
   46    32    54
  139   253    58
   58    11    74
   80    59    91
   51   195    94
   27   297     8
  142   289    69
   67   145    47
   55   228    58
  263   175    86
  191   273    68
  237    74    24
  203   123    65
  233   125     6
  284   293    85
    5     1    12
  230   103    33
   42   296    96
   88   192    69
  123   259    51
    4   254     8
   59   237    83
  115   223    97
  155   242    73
  100   164   100
   96   297    23
   43   161    25
  147    57     2
  121   232    41
   44   219    99
  286     2    97
  123   236    49
   25   231    63
   26    38    39
  207   101    70
  186    22    74
  161    79    23
  238    87    62
  261   297    65
  273    62    40
  243    52    74
    8    83    93
   57   157    27
  245    70    77
  174   209    57
   62   149    20
    3   119    30
  278   119    58
  134   296    25
  114   240    93
   75   289    23
  188    34    28
  150    29    29
   68    33    22
   46   144    62
    6   204    70
   75    20    95
  274    31    15
