NB_GRAPHS                 10
UNDIRECTED GRAPH      
NB_NODES                 600
NB_EDGES                2875
LIST_OF_EDGES 	 COSTS
    0     1    20
    1     2    95
    2     3    90
    3     4    56
    4     5     4
    5     6    33
    6     7    31
    7     8     8
    8     9    77
    9    10    19
   10    11    20
   11    12     2
   12    13    62
   13    14    49
   14    15    31
   15    16    73
   16    17    23
   17    18    36
   18    19    65
   19    20    41
   20    21    21
   21    22    56
   22    23    18
   23    24    83
   24    25    55
   25    26    96
   26    27    23
   27    28    99
   28    29   100
   29    30    92
   30    31    15
   31    32    17
   32    33    52
   33    34    38
   34    35    90
   35    36    44
   36    37    72
   37    38    62
   38    39    64
   39    40    57
   40    41    13
   41    42    59
   42    43    65
   43    44    44
   44    45    86
   45    46    93
   46    47    33
   47    48    57
   48    49    75
   49    50    29
   50    51    32
   51    52    64
   52    53    96
   53    54    22
   54    55     3
   55    56    42
   56    57    13
   57    58    38
   58    59    91
   59    60     5
   60    61     1
   61    62    93
   62    63     3
   63    64    41
   64    65    70
   65    66    81
   66    67    27
   67    68    92
   68    69    69
   69    70    32
   70    71    82
   71    72    63
   72    73    12
   73    74     4
   74    75    63
   75    76     2
   76    77    39
   77    78   100
   78    79    83
   79    80    36
   80    81     7
   81    82    84
   82    83    31
   83    84    50
   84    85    24
   85    86    82
   86    87    56
   87    88    36
   88    89    58
   89    90    43
   90    91    73
   91    92    72
   92    93    31
   93    94    43
   94    95    15
   95    96    85
   96    97    41
   97    98    44
   98    99    11
   99   100    94
  100   101    69
  101   102    60
  102   103    72
  103   104     5
  104   105    75
  105   106     4
  106   107    19
  107   108    72
  108   109    93
  109   110    39
  110   111    69
  111   112    86
  112   113    46
  113   114    69
  114   115    88
  115   116    84
  116   117    95
  117   118    91
  118   119    45
  119   120    39
  120   121    35
  121   122    50
  122   123    76
  123   124    27
  124   125    19
  125   126    90
  126   127    97
  127   128    81
  128   129    57
  129   130    46
  130   131    21
  131   132    63
  132   133    13
  133   134    11
  134   135     2
  135   136    36
  136   137    46
  137   138    30
  138   139    36
  139   140    13
  140   141    38
  141   142    81
  142   143    19
  143   144    60
  144   145    46
  145   146    53
  146   147     9
  147   148    52
  148   149    36
  149   150    84
  150   151    12
  151   152    89
  152   153    53
  153   154     8
  154   155    72
  155   156     4
  156   157    19
  157   158    72
  158   159    34
  159   160    90
  160   161    52
  161   162    53
  162   163    63
  163   164    34
  164   165    53
  165   166    46
  166   167    26
  167   168    49
  168   169    55
  169   170    32
  170   171    49
  171   172    28
  172   173    46
  173   174    89
  174   175    39
  175   176    48
  176   177     8
  177   178    16
  178   179    35
  179   180    77
  180   181    40
  181   182    45
  182   183    73
  183   184    24
  184   185    73
  185   186    87
  186   187    28
  187   188     9
  188   189    72
  189   190     7
  190   191    77
  191   192    87
  192   193    39
  193   194    24
  194   195     5
  195   196    74
  196   197    54
  197   198    33
  198   199    35
  199   200    30
  200   201    19
  201   202    16
  202   203    13
  203   204    61
  204   205    96
  205   206    26
  206   207    36
  207   208    94
  208   209    35
  209   210    61
  210   211    10
  211   212    71
  212   213     4
  213   214    28
  214   215    51
  215   216    93
  216   217    74
  217   218    56
  218   219    35
  219   220    90
  220   221    13
  221   222    20
  222   223    75
  223   224    48
  224   225    91
  225   226    76
  226   227    60
  227   228    16
  228   229    28
  229   230    67
  230   231    45
  231   232    43
  232   233    77
  233   234    70
  234   235    36
  235   236     5
  236   237     4
  237   238    10
  238   239     6
  239   240    81
  240   241    20
  241   242    42
  242   243    61
  243   244    32
  244   245    53
  245   246    29
  246   247    92
  247   248    59
  248   249    60
  249   250    21
  250   251    99
  251   252    36
  252   253    50
  253   254    99
  254   255    23
  255   256     7
  256   257    26
  257   258    93
  258   259    15
  259   260    66
  260   261    70
  261   262    46
  262   263    32
  263   264    67
  264   265    23
  265   266    51
  266   267     7
  267   268    26
  268   269     6
  269   270    60
  270   271    24
  271   272    74
  272   273    86
  273   274     8
  274   275     2
  275   276    34
  276   277    64
  277   278    58
  278   279    94
  279   280    86
  280   281    76
  281   282    65
  282   283     4
  283   284     3
  284   285    18
  285   286    93
  286   287    55
  287   288    22
  288   289    62
  289   290    13
  290   291    81
  291   292    12
  292   293    21
  293   294    75
  294   295    92
  295   296    68
  296   297    56
  297   298    60
  298   299     4
  299   300    21
  300   301    74
  301   302    11
  302   303    47
  303   304    95
  304   305    20
  305   306    16
  306   307    71
  307   308    51
  308   309    44
  309   310    15
  310   311    93
  311   312    64
  312   313    83
  313   314    30
  314   315    43
  315   316    23
  316   317    65
  317   318    89
  318   319     7
  319   320    42
  320   321    94
  321   322    64
  322   323    58
  323   324     1
  324   325    12
  325   326    81
  326   327    56
  327   328    44
  328   329    35
  329   330    99
  330   331    52
  331   332    89
  332   333    34
  333   334    47
  334   335    43
  335   336    38
  336   337    76
  337   338    38
  338   339    98
  339   340     1
  340   341    85
  341   342    56
  342   343    92
  343   344     6
  344   345    86
  345   346    47
  346   347    75
  347   348    33
  348   349    85
  349   350    66
  350   351    81
  351   352    52
  352   353     9
  353   354    99
  354   355    85
  355   356    51
  356   357     7
  357   358    66
  358   359    32
  359   360    31
  360   361    53
  361   362    58
  362   363    13
  363   364    79
  364   365    21
  365   366     8
  366   367    43
  367   368    39
  368   369    93
  369   370    26
  370   371    81
  371   372    23
  372   373    44
  373   374    56
  374   375    88
  375   376    68
  376   377     5
  377   378    81
  378   379    43
  379   380    17
  380   381    43
  381   382     8
  382   383    82
  383   384    28
  384   385    52
  385   386    54
  386   387    99
  387   388    72
  388   389    16
  389   390    68
  390   391    47
  391   392    85
  392   393    42
  393   394    26
  394   395    95
  395   396    68
  396   397    32
  397   398     3
  398   399    34
  399   400    59
  400   401    82
  401   402     3
  402   403    74
  403   404    27
  404   405    10
  405   406    72
  406   407    27
  407   408    74
  408   409    78
  409   410    82
  410   411    27
  411   412    98
  412   413    94
  413   414    45
  414   415    77
  415   416    13
  416   417    84
  417   418    90
  418   419    48
  419   420    68
  420   421    95
  421   422    43
  422   423    65
  423   424    94
  424   425     1
  425   426    29
  426   427    99
  427   428    53
  428   429    98
  429   430    15
  430   431    28
  431   432    10
  432   433    19
  433   434    40
  434   435    45
  435   436    21
  436   437    58
  437   438    15
  438   439    24
  439   440     1
  440   441    82
  441   442    27
  442   443    98
  443   444    57
  444   445    66
  445   446    73
  446   447    63
  447   448    82
  448   449    13
  449   450    43
  450   451    20
  451   452    46
  452   453    84
  453   454    16
  454   455    57
  455   456    48
  456   457    73
  457   458    87
  458   459    90
  459   460    61
  460   461    11
  461   462    46
  462   463    71
  463   464    28
  464   465    72
  465   466    50
  466   467    52
  467   468    29
  468   469    67
  469   470    18
  470   471    43
  471   472    77
  472   473    11
  473   474    65
  474   475    33
  475   476    66
  476   477    60
  477   478    31
  478   479    52
  479   480    65
  480   481    24
  481   482     6
  482   483    10
  483   484     1
  484   485    23
  485   486    89
  486   487    38
  487   488    32
  488   489    16
  489   490    25
  490   491    58
  491   492    50
  492   493    53
  493   494    55
  494   495    30
  495   496    51
  496   497    39
  497   498     8
  498   499    29
  499   500    60
  500   501    36
  501   502    14
  502   503    72
  503   504    85
  504   505    20
  505   506    58
  506   507    99
